Oui	INT	oui
Il	VER:subi	Il
en	PRO:PER	en
louera	VER:futu	louer
du	PRP:det	du
moins	ADV	moins
l'	DET:ART	le
inébranlable	ADJ	inébranlable
audace	NOM	audace
,	PUN	,
Et	NOM	Et
rendra	VER:futu	rendre
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
doit	VER:pres	devoir
aux	PRP:det	au
surprenants	ADJ	surprenant
transports	NOM	transport
Qui	NAM	Qui
me	PRO:PER	me
font	VER:pres	faire
voir	VER:infi	voir
le	DET:ART	le
crime	NOM	crime
,	PUN	,
et	KON	et
braver	VER:infi	braver
le	DET:ART	le
remords	NOM	remords
.	SENT	.
Peins	VER:pres	peindre
-toi	PRO:PER	toi
mon	DET:POS	mon
entreprise	NOM	entreprise
encore	ADV	encore
plus	ADV	plus
effroyable	ADJ	effroyable
;	PUN	;
Une	VER:simp	Une
grande	ADJ	grand
âme	NOM	âme
seule	ADJ	seul
en	PRO:PER	en
peut	VER:pres	pouvoir
être	VER:infi	être
capable	ADJ	capable
.	SENT	.
Plus	ADV	plus
l'	DET:ART	le
attentat	NOM	attentat
est	VER:pres	être
noir	ADJ	noir
,	PUN	,
plus	ADV	plus
son	DET:POS	son
indignité	NOM	indignité
Veut	VER:pres	vouloir
du	PRP:det	du
coeur	NOM	cœur
le	DET:ART	le
plus	ADV	plus
haut	ADJ	haut
l'	DET:ART	le
entière	ADJ	entier
fermeté	NOM	fermeté
.	SENT	.
Des	PRP:det	du
plus	ADV	plus
sacrez	VER:pres	sacrer
devoirs	NOM	devoir
étouffer	VER:infi	étouffer
le	DET:ART	le
murmure	NOM	murmure
C'	ADJ	C'
est	VER:pres	être
à	PRP	à
ses	DET:POS	son
passions	NOM	passion
asservir	VER:infi	asservir
la	DET:ART	le
nature	NOM	nature
;	PUN	;
Cet	NAM	Cet
effort	NOM	effort
ne	ADV	ne
part	VER:pres	partir
point	ADV	point
d'	PRP	de
un	DET:ART	un
courage	NOM	courage
abattu	VER:pper	abattre
,	PUN	,
Et	NOM	Et
pour	PRP	pour
faire	VER:infi	faire
un	DET:ART	un
grand	ADJ	grand
crime	NOM	crime
il	PRO:PER	il
faut	VER:pres	falloir
de	PRP	de
la	DET:ART	le
vertu	NOM	vertu
.	SENT	.
Ce	PRO:DEM	ce
genre	NOM	genre
de	PRP	de
vertu	NOM	vertu
touche	VER:pres	toucher
un	DET:ART	un
peu	ADV	peu
trop	ADV	trop
votre	DET:POS	votre
âme	NOM	âme
.	SENT	.
Enfin	ADV	enfin
tu	PRO:PER	tu
veux	VER:pres	vouloir
en	PRP	en
vain	ADJ	vain
que	KON	que
j'	PRO:PER	je
en	PRO:PER	en
craigne	VER:subp	craindre
le	DET:ART	le
blâme	NOM	blâme
,	PUN	,
La	DET:ART	le
chose	NOM	chose
est	VER:pres	être
résolue	VER:pper	résoudre
,	PUN	,
et	KON	et
tout	ADV	tout
prêt	ADJ	prêt
d'	PRP	de
éclater	VER:infi	éclater
,	PUN	,
Un	NAM	Un
lâche	VER:pres	lâcher
repentir	VER:infi	repentir
ne	ADV	ne
saurait	VER:cond	savoir
m'	PRO:PER	me
arrêter	VER:infi	arrêter
.	SENT	.
Il	PRO:PER	il
faut	VER:pres	falloir
sans	PRP	sans
balancer	VER:infi	balancer
que	KON	que
dès	PRP	dès
cette	PRO:DEM	ce
nuit	NOM	nuit
même	ADV	même
La	DET:ART	le
mort	NOM	mort
d'	PRP	de
Honorius	NAM	Honorius
couronne	VER:pres	couronner
un	DET:ART	un
fils	NOM	fil|fils
que	PRO:REL	que
j'	PRO:PER	je
aime	VER:pres	aimer
.	SENT	.
Rien	NOM	rien
ne	ADV	ne
peut	VER:pres	pouvoir
mettre	VER:infi	mettre
obstacle	NOM	obstacle
au	PRP:det	au
dessein	NOM	dessein
que	PRO:REL	que
j'	PRO:PER	je
en	PRO:PER	en
fais	VER:pres	faire
,	PUN	,
Je	PRO:PER	je
puis	ADV	puis
tout	ADV	tout
sur	PRP	sur
l'	DET:ART	le
armée	NOM	armée
,	PUN	,
on	PRO:PER	on
me	PRO:PER	me
craint	VER:pres	craindre
au	PRP:det	au
palais	NOM	palais
,	PUN	,
Et	NAM	Et
j'	PRO:PER	je
ai	VER:pres	avoir
dans	PRP	dans
l'	DET:ART	le
entreprise	NOM	entreprise
intéressé	VER:pper	intéresser
sans	PRP	sans
peine	NOM	peine
Tous	NAM	Tous
ceux	PRO:DEM	celui
dont	PRO:REL	dont
le	DET:ART	le
pouvoir	NOM	pouvoir
l'	PRO:PER	la|le
eut	VER:simp	avoir
pu	VER:pper	pouvoir
rendre	VER:infi	rendre
incertaine	ADJ	incertain
.	SENT	.
Ainsi	KON	ainsi
pour	PRP	pour
voir	VER:infi	voir
l'	DET:ART	le
effet	NOM	effet
que	PRO:REL	que
je	PRO:PER	je
m'	PRO:PER	me
en	PRO:PER	en
suis	VER:pres	suivre|être
promis	VER:pper	promettre
,	PUN	,
En	NOM	En
secret	ADJ	secret
chez	PRP	chez
Zénon	NAM	Zénon
assemble	VER:pres	assembler
nos	DET:POS	notre
amis	NOM	ami
.	SENT	.
Zénon	NAM	Zénon
peut	VER:pres	pouvoir
tout	ADV	tout
pour	PRP	pour
nous	PRO:PER	nous
et	KON	et
brûle	VER:pres	brûler
d'	PRP	de
entreprendre	VER:infi	entreprendre
.	SENT	.
Dans	PRP	dans
une	DET:ART	un
heure	NOM	heure
au	PRP:det	au
plus	ADV	plus
tard	ADV	tard
j'	PRO:PER	je
aurai	VER:futu	avoir
soin	NOM	soin
de	PRP	de
m'	PRO:PER	me
y	PRO:PER	y
rendre	VER:infi	rendre
,	PUN	,
Et	NOM	Et
lors	ADV	lors
,	PUN	,
pour	PRP	pour
le	DET:ART	le
succès	NOM	succès
d'	PRP	de
un	DET:ART	un
si	ADV	si
hardi	ADJ	hardi
dessein	NOM	dessein
,	PUN	,
Nous	PRO:PER	nous
choisirons	VER:futu	choisir
ensemble	ADV	ensemble
et	KON	et
le	DET:ART	le
temps	NOM	temps
et	KON	et
la	DET:ART	le
main	NOM	main
.	SENT	.
Quoi	PRO	quoi
,	PUN	,
pour	PRP	pour
un	DET:ART	un
trône	NOM	trône
offert	VER:pper	offrir
par	PRP	par
l'	DET:ART	le
hymen	NOM	hymen
qu'	PRO:REL	que
on	PRO:PER	on
propose	VER:pres	proposer
Aux	VER:pper	Aux
soins	NOM	soin
d'	PRP	de
Eucherius	NAM	Eucherius
je	PRO:PER	je
devrais	VER:cond	devoir
quelque	PRO:IND	quelque
chose	NOM	chose
,	PUN	,
Et	VER:subi	Et
lui	PRO:PER	lui
donnerais	VER:cond	donner
droit	NOM	droit
de	PRP	de
pouvoir	NOM	pouvoir
se	PRO:PER	se
flatter	VER:infi	flatter
D'	NOM	D'
avoir	VER:infi	avoir
prêté	VER:pper	prêter
la	DET:ART	le
main	NOM	main
à	PRP	à
m'	PRO:PER	me
y	PRO:PER	y
faire	VER:infi	faire
monter	VER:infi	monter
?	SENT	?
Non	ADV	non
,	PUN	,
non	ADV	non
,	PUN	,
quand	KON	quand
son	DET:POS	son
conseil	NOM	conseil
m'	PRO:PER	me
assure	VER:pres	assurer
une	DET:ART	un
couronne	NOM	couronne
,	PUN	,
Je	PRO:PER	je
me	PRO:PER	me
dois	VER:pres	devoir
le	DET:ART	le
refus	NOM	refus
dont	PRO:REL	dont
la	DET:ART	le
fierté	NOM	fierté
t'	PRO:PER	te
étonne	VER:pres	étonner
,	PUN	,
Et	NAM	Et
tu	PRO:PER	tu
prétends	VER:pres	prétendre
en	PRP	en
vain	ADJ	vain
que	KON	que
je	PRO:PER	je
puisse	VER:subp	pouvoir
aujourd'hui	ADV	aujourd'hui
Faire	VER:infi	faire
paraître	VER:infi	paraître
une	DET:ART	un
âme	NOM	âme
aussi	ADV	aussi
basse	ADJ	bas
que	PRO:REL	que
lui	PRO:PER	lui
.	SENT	.
Quelle	PRO:REL	quel
bassesse	NOM	bassesse
d'	PRP	de
âme	NOM	âme
éclate	VER:pres	éclater
dans	PRP	dans
ce	PRO:DEM	ce
zèle	NOM	zèle
Dont	VER:futu	Dont
l'	DET:ART	le
ardeur	NOM	ardeur
toute	ADV	toute
pure	ADJ	pur
au	PRP:det	au
trône	NOM	trône
vous	PRO:PER	vous
appelle	VER:pres	appeler
?	SENT	?
Sans	PRP	sans
trop	ADV	trop
d'	PRP	de
emportement	NOM	emportement
,	PUN	,
qu'	PRO:REL	que
y	PRO:PER	y
pouvez	VER:pres	pouvoir
-vous	PRO:PER	vous
blâmer	VER:infi	blâmer
?	SENT	?
La	DET:ART	le
lâcheté	NOM	lâcheté
d'	PRP	de
un	DET:ART	un
coeur	NOM	cœur
qui	PRO:REL	qui
feignit	VER:simp	feindre
de	PRP	de
m'	PRO:PER	me
aimer	VER:infi	aimer
,	PUN	,
Et	NOM	Et
qui	PRO:REL	qui
du	PRP:det	du
plus	ADV	plus
beau	ADJ	beau
feu	NOM	feu
s'	PRO:PER	se
imposant	VER:ppre	imposer
la	DET:ART	le
contrainte	NOM	contrainte
,	PUN	,
En	NAM	En
affecta	VER:simp	affecter
les	DET:ART	le
soins	NOM	soin
sans	PRP	sans
en	PRO:PER	en
sentir	VER:infi	sentir
l'	DET:ART	le
atteinte	NOM	atteinte
.	SENT	.
Soupçonner	VER:infi	soupçonner
dans	PRP	dans
le	PRO:PER	le
sien	PRO:POS	sien
des	PRP:det	du
sentiments	NOM	sentiment
si	ADV	si
bas	ADJ	bas
,	PUN	,
C'	NAM	C'
est	VER:pres	être
en	PRP	en
prendre	VER:infi	prendre
pour	PRP	pour
lui	PRO:PER	lui
qu'	KON	que
il	PRO:PER	il
ne	ADV	ne
mérite	VER:pres	mériter
pas	ADV	pas
.	SENT	.
Sitôt	ADV	sitôt
qu'	KON	que
à	PRP	à
vos	DET:POS	votre
souhaits	NOM	souhait
on	PRO:PER	on
offre	VER:pres	offrir
un	DET:ART	un
diadème	NOM	diadème
,	PUN	,
Il	NAM	Il
fait	VER:pres	faire
gloire	NOM	gloire
pour	PRP	pour
vous	PRO:PER	vous
de	PRP	de
se	PRO:PER	se
trahir	VER:infi	trahir
soi	PRO:PER	soi
-même	ADJ	même
;	PUN	;
D'	NAM	D'
un	DET:ART	un
hymen	NOM	hymen
qui	PRO:REL	qui
le	PRO:PER	le
perd	VER:pres	perdre
il	PRO:PER	il
va	VER:pres	aller
presser	VER:infi	presser
l'	DET:ART	le
aveu	NOM	aveu
,	PUN	,
Et	NOM	Et
dans	PRP	dans
ce	PRO:DEM	ce
grand	ADJ	grand
effort	NOM	effort
vous	PRO:PER	vous
doutez	VER:pres	douter
de	PRP	de
son	DET:POS	son
feu	NOM	feu
?	SENT	?
Par	PRP	par
un	DET:ART	un
éclat	NOM	éclat
trompeur	ADJ	trompeur
cet	PRO:DEM	ce
effort	NOM	effort
t'	PRO:PER	te
a	VER:pres	avoir
charmée	VER:pper	charmer
.	SENT	.
On	PRO:PER	on
doit	VER:pres	devoir
tout	ADV	tout
immoler	VER:infi	immoler
à	PRP	à
la	DET:ART	le
personne	NOM	personne
aimée	VER:pper	aimer
,	PUN	,
Mais	VER:impf	Mais
d'	PRP	de
un	DET:ART	un
indigne	ADJ	indigne
sort	VER:pres	sortir
le	DET:ART	le
coup	NOM	coup
le	DET:ART	le
plus	ADV	plus
fatal	ADJ	fatal
Ne	VER:futu	Ne
la	DET:ART	le
fait	NOM	fait
point	ADV	point
céder	VER:infi	céder
à	PRP	à
l'	DET:ART	le
espoir	NOM	espoir
d'	PRP	de
un	DET:ART	un
rival	NOM	rival
.	SENT	.
Quand	KON	quand
il	PRO:PER	il
faut	VER:pres	falloir
que	KON	que
l'	DET:ART	le
amour	NOM	amour
jusques	PRP	jusques
-là	ADV	là
se	PRO:PER	se
trahisse	VER:subp	trahir
,	PUN	,
La	DET:ART	le
révolte	NOM	révolte
plaît	VER:pres	plaire
mieux	ADV	mieux
qu'	KON	que
un	DET:ART	un
si	ADV	si
grand	ADJ	grand
sacrifice	NOM	sacrifice
,	PUN	,
Et	VER:simp	Et
quelque	PRO:IND	quelque
âpre	ADJ	âpre
revers	NOM	revers
dont	PRO:REL	dont
l'	DET:ART	le
on	PRO:PER	on
soit	VER:subp	être
combattu	VER:pper	combattre
,	PUN	,
C'	NAM	C'
est	VER:pres	être
aimer	VER:infi	aimer
lâchement	ADV	lâchement
qu'	KON	que
avoir	VER:infi	avoir
tant	ADV	tant
de	PRP	de
vertu	NOM	vertu
.	SENT	.
Et	KON	et
bien	ADV	bien
,	PUN	,
sa	DET:POS	son
lâcheté	NOM	lâcheté
va	VER:pres	aller
jusques	PRP	jusques
à	PRP	à
l'	DET:ART	le
extrême	ADJ	extrême
.	SENT	.
Si	KON	si
vous	PRO:PER	vous
le	PRO:PER	le
haïssez	VER:pres	haïr
,	PUN	,
qu'	KON	que
importe	VER:pres	importer
qu'	KON	que
il	PRO:PER	il
vous	PRO:PER	vous
aime	VER:pres	aimer
,	PUN	,
Et	NOM	Et
par	PRP	par
quel	PRO:REL	quel
intérêt	NOM	intérêt
vous	PRO:PER	vous
pouvez	VER:pres	pouvoir
-vous	PRO:PER	vous
fâcher	VER:infi	fâcher
Qu'	NOM	Qu'
il	PRO:PER	il
affecte	VER:pres	affecter
un	DET:ART	un
amour	NOM	amour
qui	PRO:REL	qui
ne	ADV	ne
vous	PRO:PER	vous
peut	VER:pres	pouvoir
toucher	VER:infi	toucher
?	SENT	?
Quel	PRO:REL	quel
intérêt	NOM	intérêt
,	PUN	,
hélas	INT	hélas
!	SENT	!
Votre	DET:POS	votre
coeur	NOM	cœur
en	PRO:PER	en
soupire	VER:pres	soupirer
?	SENT	?
Ce	PRO:DEM	ce
soupir	NOM	soupir
t'	PRO:PER	te
en	PRO:PER	en
dit	VER:pres	dire
plus	ADV	plus
que	KON	que
je	PRO:PER	je
n'	ADV	ne
en	PRO:PER	en
voulais	VER:impf	vouloir
dire	VER:infi	dire
;	PUN	;
Tu	NAM	Tu
viens	VER:pres	venir
de	PRP	de
trouver	VER:infi	trouver
l'	DET:ART	le
art	NOM	art
de	PRP	de
me	PRO:PER	me
le	PRO:PER	le
dérober	VER:infi	dérober
.	SENT	.
Cache	VER:pres	cacher
-toi	PRO:PER	toi
la	DET:ART	le
faiblesse	NOM	faiblesse
où	PRO:REL	où
tu	PRO:PER	tu
me	PRO:PER	me
vois	VER:pres	voir
tomber	VER:infi	tomber
,	PUN	,
Lucile	NAM	Lucile
,	PUN	,
et	KON	et
s'	PRO:PER	se
il	PRO:PER	il
se	PRO:PER	se
peut	VER:pres	pouvoir
,	PUN	,
te	PRO:PER	te
déguisant	VER:ppre	déguiser
ma	DET:POS	mon
peine	NOM	peine
,	PUN	,
Prends	VER:pres	prendre
un	DET:ART	un
effet	NOM	effet
d'	PRP	de
amour	NOM	amour
pour	KON	pour
des	PRP:det	du
marques	NOM	marque
de	PRP	de
haine	NOM	haine
.	SENT	.
Vous	PRO:PER	vous
,	PUN	,
de	PRP	de
l'	DET:ART	le
amour	NOM	amour
,	PUN	,
madame	NOM	madame
?	SENT	?
Étonne	VER:pres	étonner
,	PUN	,
étonne	VER:pres	étonner
-toi	PRO:PER	toi
De	VER:infi	De
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
faut	VER:pres	falloir
enfin	ADV	enfin
confier	VER:infi	confier
à	PRP	à
ta	DET:POS	ton
foi	NOM	foi
.	SENT	.
J'	PRO:PER	je
aime	VER:pres	aimer
,	PUN	,
et	KON	et
ce	PRO:DEM	ce
feu	NOM	feu
secret	ADJ	secret
qui	PRO:REL	qui
contraint	VER:pres	contraindre
ma	DET:POS	mon
franchise	NOM	franchise
L'	DET:ART	le
eut	VER:simp	avoir
combattue	VER:pper	combattre
en	PRP	en
vain	ADJ	vain
s'	KON	si
il	PRO:PER	il
ne	ADV	ne
l'	PRO:PER	la|le
eut	VER:simp	avoir
pas	ADV	pas
surprise	VER:pper	surprendre
;	PUN	;
Il	NAM	Il
l'	PRO:PER	la|le
a	VER:pres	avoir
pu	VER:pper	pouvoir
d'	PRP	de
autant	ADV	autant
mieux	ADV	mieux
que	KON	que
contre	PRP	contre
son	DET:POS	son
ardeur	NOM	ardeur
Mon	NAM	Mon
orgueil	NOM	orgueil
me	PRO:PER	me
sembla	VER:simp	sembler
répondre	VER:infi	répondre
de	PRP	de
mon	DET:POS	mon
coeur	NOM	cœur
,	PUN	,
Et	NAM	Et
me	PRO:PER	me
fit	VER:simp	faire
négliger	VER:infi	négliger
le	DET:ART	le
soin	NOM	soin
de	PRP	de
me	PRO:PER	me
défendre	VER:infi	défendre
D'	NOM	D'
estimer	VER:infi	estimer
un	DET:ART	un
sujet	NOM	sujet
indigne	ADJ	indigne
d'	PRP	de
y	PRO:PER	y
prétendre	VER:infi	prétendre
.	SENT	.
Ainsi	KON	ainsi
d'	PRP	de
Eucherius	NAM	Eucherius
le	DET:ART	le
zèle	NOM	zèle
officieux	ADJ	officieux
Cent	VER:simp	Cent
fois	NOM	foi|fois
sur	PRP	sur
sa	DET:POS	son
vertu	NOM	vertu
sut	VER:simp	savoir
arrêter	VER:infi	arrêter
mes	DET:POS	mon
yeux	NOM	œil
;	PUN	;
J'	NAM	J'
en	PRO:PER	en
connus	VER:simp	connaître
tout	ADV	tout
le	DET:ART	le
prix	NOM	prix
,	PUN	,
j'	PRO:PER	je
en	PRO:PER	en
goûtai	VER:simp	goûter
tous	PRO:IND	tout
les	DET:ART	le
charmes	NOM	charme
,	PUN	,
Je	PRO:PER	je
m'	PRO:PER	me
en	PRO:PER	en
sentis	VER:simp	sentir
émue	VER:pper	émouvoir
,	PUN	,
et	KON	et
n'	ADV	ne
en	PRP	en
pris	ADJ	pris
point	NOM	point
d'	PRP	de
alarmes	NOM	alarme
;	PUN	;
De	VER:ppre	De
l'	DET:ART	le
éclat	NOM	éclat
de	PRP	de
mon	DET:POS	mon
sang	NOM	sang
la	DET:ART	le
jalouse	ADJ	jaloux
fierté	NOM	fierté
Au	VER:subi	Au
milieu	NOM	milieu
du	PRP:det	du
péril	NOM	péril
faisait	VER:impf	faire
ma	DET:POS	mon
sûreté	NOM	sûreté
.	SENT	.
Sur	PRP	sur
un	DET:ART	un
appui	NOM	appui
si	KON	si
faux	NOM	fau|faux
mon	DET:POS	mon
âme	NOM	âme
trop	ADV	trop
crédule	ADJ	crédule
D'	NOM	D'
un	DET:ART	un
chagrin	NOM	chagrin
inquiet	ADJ	inquiet
rejeta	VER:simp	rejeter
le	DET:ART	le
scrupule	NOM	scrupule
,	PUN	,
Et	NOM	Et
ne	ADV	ne
voulut	VER:simp	vouloir
pas	ADV	pas
voir	VER:infi	voir
que	KON	que
sous	PRP	sous
ce	PRO:DEM	ce
piège	NOM	piège
adroit	ADJ	adroit
L'	DET:ART	le
estime	NOM	estime
bien	ADV	bien
souvent	ADV	souvent
va	VER:pres	aller
plus	ADV	plus
loin	ADV	loin
qu'	KON	que
on	PRO:PER	on
ne	ADV	ne
croit	VER:pres	croire
.	SENT	.
J'	PRO:PER	je
en	PRO:PER	en
fis	VER:simp	faire
l'	DET:ART	le
épreuve	NOM	épreuve
,	PUN	,
hélas	INT	hélas
!	SENT	!
Quand	KON	quand
je	PRO:PER	je
me	PRO:PER	me
crûs	VER:simp	croître
capable	ADJ	capable
De	VER:futu	De
rendre	VER:infi	rendre
cette	PRO:DEM	ce
estime	NOM	estime
un	DET:ART	un
peu	ADV	peu
moins	ADV	moins
favorable	ADJ	favorable
.	SENT	.
Vers	PRP	vers
un	DET:ART	un
penchant	NOM	penchant
si	ADV	si
doux	ADJ	doux
tout	PRO:IND	tout
mon	DET:POS	mon
coeur	NOM	cœur
emporté	VER:pper	emporter
Trouva	VER:simp	trouver
dans	PRP	dans
sa	DET:POS	son
faiblesse	NOM	faiblesse
une	DET:ART	un
nécessité	NOM	nécessité
;	PUN	;
D'	NAM	D'
un	DET:ART	un
feu	NOM	feu
qu'	PRO:REL	que
il	PRO:PER	il
devait	VER:impf	devoir
craindre	VER:infi	craindre
il	PRO:PER	il
eut	VER:simp	avoir
beau	ADJ	beau
voir	VER:infi	voir
l'	DET:ART	le
amorce	NOM	amorce
,	PUN	,
Il	NAM	Il
voulut	VER:simp	vouloir
le	PRO:PER	le
combattre	VER:infi	combattre
,	PUN	,
et	KON	et
n'	ADV	ne
en	PRO:PER	en
eut	VER:simp	avoir
pas	ADV	pas
la	DET:ART	le
force	NOM	force
,	PUN	,
Et	NAM	Et
vit	VER:pres	vivre
bien	ADV	bien
que	KON	que
l'	DET:ART	le
amour	NOM	amour
qu'	PRO:REL	que
il	PRO:PER	il
tâchait	VER:impf	tâcher
d'	PRP	de
étouffer	VER:infi	étouffer
,	PUN	,
Avant	VER:ppre	Avant
qu'	KON	que
il	PRO:PER	il
se	PRO:PER	se
déclare	VER:pres	déclarer
,	PUN	,
est	VER:pres	être
sûr	ADJ	sûr
de	PRP	de
triompher	VER:infi	triompher
.	SENT	.
Mais	KON	mais
si	KON	si
d'	PRP	de
Eucherius	NAM	Eucherius
l'	DET:ART	le
hommage	NOM	hommage
a	VER:pres	avoir
su	VER:pper	savoir
vous	PRO:PER	vous
plaire	VER:infi	plaire
,	PUN	,
Vous	NAM	Vous
devez	VER:pres	devoir
à	PRP	à
ses	DET:POS	son
voeux	NOM	vœu
vous	PRO:PER	vous
rendre	VER:infi	rendre
moins	ADV	moins
contraire	ADJ	contraire
.	SENT	.
Pourquoi	ADV	pourquoi
fuir	VER:infi	fuir
un	DET:ART	un
hymen	NOM	hymen
qui	PRO:REL	qui
les	PRO:PER	la|le
peut	VER:pres	pouvoir
couronner	VER:infi	couronner
?	SENT	?
Tu	PRO:PER	tu
me	PRO:PER	me
connais	VER:pres	connaître
,	PUN	,
Lucile	NAM	Lucile
,	PUN	,
et	KON	et
peux	VER:pres	pouvoir
t'	PRO:PER	te
en	PRP	en
étonner	VER:infi	étonner
?	SENT	?
Je	PRO:PER	je
t'	PRO:PER	te
en	PRO:PER	en
ai	VER:pres	avoir
fait	VER:pper	faire
l'	DET:ART	le
aveu	NOM	aveu
,	PUN	,
j'	PRO:PER	je
aime	VER:pres	aimer
,	PUN	,
et	KON	et
pour	PRP	pour
mon	DET:POS	mon
supplice	NOM	supplice
De	VER:futu	De
l'	DET:ART	le
erreur	NOM	erreur
de	PRP	de
mes	DET:POS	mon
sens	NOM	sen|sens
mon	DET:POS	mon
coeur	NOM	cœur
s'	PRO:PER	se
est	VER:pres	être
fait	VER:pper	faire
complice	ADJ	complice
,	PUN	,
Et	NOM	Et
n'	ADV	ne
a	VER:pres	avoir
pu	VER:pper	pouvoir
résister	VER:infi	résister
à	PRP	à
ces	PRO:DEM	ce
charmes	NOM	charme
flatteurs	ADJ	flatteur
Qu'	NAM	Qu'
étalent	VER:pres	étaler
à	PRP	à
l'	DET:ART	le
envi	ADV	envi
de	PRP	de
si	ADV	si
doux	ADJ	doux
imposteurs	NOM	imposteur
;	PUN	;
Mais	VER:impf	Mais
celles	PRO:DEM	celui
de	PRP	de
mon	DET:POS	mon
rang	NOM	rang
,	PUN	,
de	PRP	de
leurs	DET:POS	leur
désirs	NOM	désir
maîtresses	NOM	maître|maîtresse
,	PUN	,
Savent	VER:pres	savoir
purger	VER:infi	purger
l'	DET:ART	le
amour	NOM	amour
de	PRP	de
ses	DET:POS	son
moindres	ADJ	moindre
faiblesses	NOM	faiblesse
,	PUN	,
Et	VER:simp	Et
dérober	VER:infi	dérober
sa	DET:POS	son
flamme	NOM	flamme
aux	PRP:det	au
douceurs	NOM	douceur
de	PRP	de
l'	DET:ART	le
espoir	NOM	espoir
Quand	NAM	Quand
il	PRO:PER	il
trahit	VER:pres	trahir
leur	DET:POS	leur
gloire	NOM	gloire
,	PUN	,
ou	KON	ou
blesse	VER:pres	blesser
leur	DET:POS	leur
devoir	NOM	devoir
.	SENT	.
Eucherius	NAM	Eucherius
me	PRO:PER	me
plaît	VER:pres	plaire
;	PUN	;
mais	KON	mais
ce	PRO:DEM	ce
que	PRO:REL	que
je	PRO:PER	je
suis	VER:pres	suivre|être
née	VER:pper	naître
Dans	VER:pper	Dans
un	DET:ART	un
si	ADV	si
vaste	ADJ	vaste
orgueil	NOM	orgueil
pousse	VER:pres	pousser
ma	DET:POS	mon
destinée	NOM	destinée
,	PUN	,
Qu'	NAM	Qu'
un	DET:ART	un
trône	NOM	trône
seul	ADJ	seul
offert	VER:pper	offrir
à	PRP	à
mes	DET:POS	mon
brûlants	ADJ	brûlant
désirs	NOM	désir
Me	ABR	Me
peut	VER:pres	pouvoir
faire	VER:infi	faire
sans	PRP	sans
honte	NOM	honte
avouer	VER:infi	avouer
ses	DET:POS	son
soupirs	NOM	soupir
.	SENT	.
Mais	KON	mais
que	PRO:REL	que
dis	VER:pres	dire
-je	PRO:PER	je
!	SENT	!
Sur	PRP	sur
lui	PRO:PER	lui
si	KON	si
j'	PRO:PER	je
obtins	VER:simp	obtenir
quelque	PRO:IND	quelque
empire	NOM	empire
,	PUN	,
Par	NAM	Par
son	DET:POS	son
lâche	ADJ	lâche
conseil	NOM	conseil
il	PRO:PER	il
cherche	VER:pres	chercher
à	PRP	à
s'	PRO:PER	se
en	PRP	en
dédire	VER:infi	dédire
,	PUN	,
Et	NAM	Et
j'	PRO:PER	je
ai	VER:pres	avoir
crû	VER:pper	croître
bien	ADV	bien
en	PRP	en
vain	ADJ	vain
qu'	KON	que
il	PRO:PER	il
avait	VER:impf	avoir
mérité	VER:pper	mériter
Les	DET:ART	le
dédains	NOM	dédain
où	PRO:REL	où
pour	KON	pour
lui	PRO:PER	lui
j'	PRO:PER	je
excitais	VER:impf	exciter
ma	DET:POS	mon
fierté	NOM	fierté
.	SENT	.
Oui	INT	oui
,	PUN	,
s'	PRO:PER	se
il	PRO:PER	il
t'	PRO:PER	te
en	PRO:PER	en
faut	VER:pres	falloir
montrer	VER:infi	montrer
l'	DET:ART	le
aveuglement	NOM	aveuglement
extrême	ADJ	extrême
,	PUN	,
Je	PRO:PER	je
ne	ADV	ne
l'	PRO:PER	la|le
ai	VER:pres	avoir
dédaigné	VER:pper	dédaigner
que	KON	que
parce	KON	parce
que	KON	que
je	PRO:PER	je
l'	PRO:PER	la|le
aime	VER:pres	aimer
,	PUN	,
Et	NOM	Et
qu'	KON	que
un	DET:ART	un
pareil	ADJ	pareil
refus	NOM	refus
balançant	VER:ppre	balancer
son	DET:POS	son
destin	NOM	destin
,	PUN	,
Lui	NAM	Lui
pouvait	VER:impf	pouvoir
à	PRP	à
l'	DET:ART	le
empire	NOM	empire
ouvrir	VER:infi	ouvrir
quelque	PRO:IND	quelque
chemin	NOM	chemin
.	SENT	.
L'	DET:ART	le
empereur	NOM	empereur
Gratian	NAM	Gratian
pour	PRP	pour
une	DET:ART	un
moindre	ADJ	moindre
cause	NOM	cause
Daigna	VER:simp	daigner
le	PRO:PER	le
partager	VER:infi	partager
avec	PRP	avec
Théodose	NAM	Théodose
,	PUN	,
Et	VER:simp	Et
ce	PRO:DEM	ce
fameux	ADJ	fameux
exemple	NOM	exemple
eut	VER:simp	avoir
pu	VER:pper	pouvoir
seul	ADJ	seul
aujourd'hui	ADV	aujourd'hui
Forcer	NAM	Forcer
Honorius	NAM	Honorius
à	PRP	à
faire	VER:infi	faire
autant	ADV	autant
pour	PRP	pour
lui	PRO:PER	lui
.	SENT	.
Les	DET:ART	le
soins	NOM	soin
qu'	PRO:REL	que
eut	VER:simp	avoir
Stilicon	NAM	Stilicon
d'	PRP	de
élever	VER:infi	élever
son	DET:POS	son
enfance	NOM	enfance
Méritaient	VER:impf	mériter
pour	PRP	pour
son	DET:POS	son
fils	NOM	fil|fils
cette	PRO:DEM	ce
